name,title,date,url
티스토리,너 내 동료가 되라   '이것' 알면 탐이 나는 기획자가 될 수 있다는데?,2024. 7. 20.,https://phalanx-club.tistory.com
핸드메이커,"시흥시, '2024 청년문화기획자 양성과정' 참가자 모집",2024. 4. 15.,https://www.handmk.com
서울시사회복지사협회,"[마감]2024년 사회복지 기획자 워크숍 : 계획 말고 기획, ...",2024. 1. 3.,https://www.sasw.or.kr
AI타임스,"이스트소프트, 'AI 서비스 기획자' 양성...K-디지털 트레이닝 ...",2024. 4. 2.,https://www.aitimes.com
참빛파트너즈,1. 직장인에게 왜!! 기획력이 중요한 경쟁력인가?,2024. 1. 12.,No URL available
gokams.or.kr,[MBC아카데미] 공연기획(콘서트/뮤지컬) 교육생 20명 모집 ...,2024. 6. 5.,https://www.gokams.or.kr
제로베이스,대기업 서비스 기획자 100% 보장 | zero-base,2024. 5. 28.,https://zero-base.co.kr
중앙대학교 공학교육혁신센터,[퍼센트] <임팩트 커리어 실험실 : 그린 서비스 기획자>,2024. 5. 14.,https://abeek.cau.ac.kr
비티와이플러스,상세페이지 기획자가 일하는 방식,2024. 4. 19.,https://blog.btyplus.co.kr
예스24,잘나가는 서비스 기획자 도그냥은 왜 PM/PO가 되었을까?,2024. 4. 17.,https://m.yes24.com
잇기,기획자가 최소 알아야 하는 전략기획,2024. 6. 30.,https://www.itgicreator.com
핀테크투데이,[훈련생 모집] 한국핀테크지원센터x구름톤 '핀테크 서비스 ...,2024. 5. 30.,http://www.fintechtoday.co.kr
사람인,[온라인/5주과정] 비전공자도 될 수 있는 서비스기획자/PM 9 ...,2024. 7. 3.,https://m.saramin.co.kr
한국문화예술위원회,공지사항 | 아르코예술인력개발원 메뉴관리,2024. 7. 17.,https://www.arko.or.kr
cruiting.co.kr,[잇기] 현직 기획자와 함께하는 역기획스터디 7기모집 (~7/15),2024. 7. 3.,https://www.cruiting.co.kr
티스토리,Chap 13. 프로젝트 이해하기 (2) 프로젝트 과정,2024. 4. 5.,https://limeorange.tistory.com
인천대학교,인문문화예술기획연계전공,2024. 4. 23.,https://www.inu.ac.kr
요즘IT,25번 면접 본 기획자의 이직 A to Z ① 기업 분석과 이력서 - 요즘IT,2024. 7. 16.,https://yozm.wishket.com
비전21뉴스,"이천시, 청년이 상상하는대로 지역 청년기획자 양성 과정 ...",2024. 7. 15.,http://www.vision21.kr
좋은습관연구소,광고 기획자는 어떻게 일을 하는 걸까? – 광고 제작의 5단계,2024. 7. 30.,https://buildhabits.kr
한림대학교,MICE기획경영전공 | 한림대학교 > 대학/대학원 > 글로벌융합 ...,2024. 6. 27.,https://www.hallym.ac.kr
아르떼365,"치열하면서도 편안하게, 쓸모를 잊고 나답게",2024. 1. 8.,https://arte365.kr
Facebook,한식도 이렇게 메뉴구성 해 보시죠^^ #외식업컨셉기획자 ...,2024. 6. 21.,https://m.facebook.com
Facebook,동작문화재단 - 🔔2024 동작 지역문화기획자 양성과정 「디딤 ...,2024. 4. 12.,https://m.facebook.com
한서대학교,[SCOUT ACADEMY] 창업기획자 양성과정 프로그램 계획(안),2024. 5. 24.,No URL available
fcaiing.co.kr,"AI 서비스 기획과 기존 서비스 기획의 차이: 직무 역할 비교, 실 ...",2024. 7. 5.,https://fcaiing.co.kr
한국공예·디자인문화진흥원,전통문화 전문인력양성: 전통가온 - 전통생활문화 - 사업안내,2024. 3. 4.,https://www.kcdf.or.kr
이천뉴스룸,청년이 상상하는대로 지역 청년기획자 양성 과정 수강생 모집,2024. 7. 15.,https://www.ditime.kr
문화마당,통영 문화기획자 양성 프로그램 참가자 모집,2024. 7. 18.,https://www.munhwamadang.kr
Medium,도메인 지식이 부족한 기획자가 회사에서 일하는 법,2024. 7. 20.,https://medium.com
인프런,웹기획 응용과정A :: 『빅데이터 프로젝트』 수행 단계별 스킬 ...,2024. 4. 22.,https://www.inflearn.com
유교신문,"춘천문화재단, 춘천문화기획학교 참여자 모집",2024. 6. 5.,http://www.cfnews.kr
IN THIS WORK,마케터에서 서비스 기획자로의 커리어 전환을 생각하시는 ...,2024. 2. 28.,https://inthiswork.com
국제종자생명교육센터,공지사항 상세보기 - 국제종자생명교육센터,2024. 6. 3.,https://hrd.seed.go.kr
트레바리,[북토크] 『잘나가는 서비스 기획자 도그냥은 왜 PM/PO가 ...,2024. 4. 29.,https://trevari.co.kr
블렌디드 채용,다양한 경험의 가치를 중요하게 생각하는 상품기획자,2024. 3. 2.,https://blended.career.greetinghr.com
