keyword,name,title,date,url
기획자 과정,Facebook,지역문화기획자 양성과정 문.채.부.3 : ...,2024. 6. 30.,https://m.facebook.com/100078656146262/videos/%EC%A7%80%EC%97%AD%EB%AC%B8%ED%99%94%EA%B8%B0%ED%9A%8D%EC%9E%90-%EC%96%91%EC%84%B1%EA%B3%BC%EC%A0%95%EB%AC%B8%EC%B1%84%EB%B6%803-%EB%82%98%EB%8B%A4%EC%9A%B0%EB%A6%AC-3%EA%B8%B0%EC%9D%98-%EA%B8%B0%ED%9A%8D%EC%9E%90%EB%B6%84%EB%93%A4%EC%9D%98-%EC%9B%8C%ED%81%AC%EC%83%B5%EC%9D%B4-%EC%95%84%EC%A3%BC-%EC%97%B4%EC%A0%95%EC%A0%81%EC%9C%BC%EB%A1%9C-%EB%A9%8B%EC%A7%80%EA%B2%8C-%EC%A7%84%ED%96%89%EB%90%98%EA%B3%A0-%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4%EC%9D%B4%EB%A0%87%EA%B2%8C-%EC%97%B4%EC%A0%95%EB%84%98%EC%B9%98%EA%B3%A0%EC%9D%B4%EB%A0%87%EA%B2%8C-%EB%81%BC%EB%A7%8E%EC%9D%80-%EB%B6%84%EB%93%A4%EC%9D%B4/1027527692223719/
기획자 과정,전통공연예술진흥재단,2024 전통예술기획자양성 프로젝트 참가자 모집공고,2024. 5. 21.,https://www.kotpa.org/ucms/bbs/B0000001/view.do?nttId=24616&menuNo=300017&pageIndex=1
기획자 과정,경기청년포털,[광명문화재단] 청년문화기획자 양성사업 '광명 샛별단' 모집,2024. 6. 2.,https://youth.gg.go.kr/gg/archive-policy-search.do?mode=view&arcNo=4757
기획자 과정,요즘IT,서비스 기획자가 '데이터 툴' 활용하는 법 - 요즘IT - 위시켓,2024. 7. 26.,https://yozm.wishket.com/magazine/detail/2678/
기획자 과정,웰로,문화 기획자 되고 싶은 청년들 모여라... 교육 과정 진행,2024. 4. 8.,https://www.welfarehello.com/community/hometownNews/d3ba6b72-5a97-4d4d-b1e4-e593c86e873f
기획자 과정,예스24,기획자의 SQL,2024. 6. 20.,https://m.yes24.com/Goods/Detail/126954019
기획자 과정,티스토리,[기획 강의_레브 인사이트] 상위기획과 요구사항정의_240728,2024. 7. 28.,https://seeker-aiden.tistory.com/101
기획자 과정,MBC아카데미문화연출학부,2024년 '스토리 IP 기획개발 마스터' 과정 모집중!,2024. 4. 3.,http://mbcac.or.kr/?p=4123
기획자 과정,마포청년나루,[행사] [참여자결과공유회] 기획자 쇼케이스_지역기반 문화 ...,2024. 7. 31.,https://www.naroo.or.kr/bbs/content.php?co_id=program_view&np_seq=965
기획자 과정,k-aia.or.kr,초기투자액셀러레이터협회,2024. 1. 19.,https://k-aia.or.kr/
기획자 과정,문학뉴스,전시기획자 양성프로그램 수강생 모집,2024. 5. 26.,http://www.munhaknews.com/news/articleView.html?idxno=75747
기획자 과정,뷰티풀라이프.com,A&R : 음반을 기획하는 사람 : 엔터취업 칼럼 - 뷰티풀라이프,2024. 2. 11.,https://xn--oi2bj6j3yi71lf1bywa.com/column/?bmode=view&idx=17753806
기획자 과정,인프런,웹기획 기초과정 [프로젝트 표준 워크플로] 강의 | 미노플라넷,2024. 3. 15.,https://www.inflearn.com/course/%EC%9B%B9-%EA%B8%B0%ED%9A%8D-%EA%B8%B0%EC%B4%88-%EC%9B%8C%ED%81%AC%ED%94%8C%EB%A1%9C?srsltid=AfmBOora9jd9q6rLOcoh9gNNyObRH6QFB9YggHUX1LpNA5AKrQcd338y
